:START_ID,:END_ID,relation,:TYPE
20004,30177,hasMethod,hasMethod
20004,30178,hasMethod,hasMethod
20004,30179,hasMethod,hasMethod
20004,30180,hasMethod,hasMethod
20004,30181,hasMethod,hasMethod
20004,30182,hasMethod,hasMethod
20004,30183,hasMethod,hasMethod
20004,30184,hasMethod,hasMethod
20004,30185,hasMethod,hasMethod
20004,30186,hasMethod,hasMethod
20004,30187,hasMethod,hasMethod
20004,30188,hasMethod,hasMethod
20004,30189,hasMethod,hasMethod
20004,30190,hasMethod,hasMethod
20005,30191,hasMethod,hasMethod
20005,30192,hasMethod,hasMethod
20005,30193,hasMethod,hasMethod
20005,30194,hasMethod,hasMethod
20005,30195,hasMethod,hasMethod
20005,30196,hasMethod,hasMethod
20005,30197,hasMethod,hasMethod
20005,30198,hasMethod,hasMethod
20005,30199,hasMethod,hasMethod
20005,30200,hasMethod,hasMethod
20005,30201,hasMethod,hasMethod
20005,30202,hasMethod,hasMethod
20005,30203,hasMethod,hasMethod
20005,30204,hasMethod,hasMethod
20005,30205,hasMethod,hasMethod
20005,30206,hasMethod,hasMethod
20005,30207,hasMethod,hasMethod
20005,30208,hasMethod,hasMethod
20006,30209,hasMethod,hasMethod
20006,30210,hasMethod,hasMethod
20007,30211,hasMethod,hasMethod
20007,30212,hasMethod,hasMethod
20007,30213,hasMethod,hasMethod
20007,30214,hasMethod,hasMethod
20007,30215,hasMethod,hasMethod
20007,30216,hasMethod,hasMethod
20007,30217,hasMethod,hasMethod
20007,30218,hasMethod,hasMethod
20007,30219,hasMethod,hasMethod
20007,30220,hasMethod,hasMethod
20007,30221,hasMethod,hasMethod
20007,30222,hasMethod,hasMethod
20007,30223,hasMethod,hasMethod
20007,30224,hasMethod,hasMethod
20007,30225,hasMethod,hasMethod
20007,30226,hasMethod,hasMethod
20008,30227,hasMethod,hasMethod
20008,30228,hasMethod,hasMethod
20008,30229,hasMethod,hasMethod
20008,30230,hasMethod,hasMethod
20008,30231,hasMethod,hasMethod
20009,30232,hasMethod,hasMethod
20009,30233,hasMethod,hasMethod
20009,30234,hasMethod,hasMethod
20009,30235,hasMethod,hasMethod
20009,30236,hasMethod,hasMethod
20009,30237,hasMethod,hasMethod
20009,30238,hasMethod,hasMethod
20009,30239,hasMethod,hasMethod
20009,30240,hasMethod,hasMethod
20009,30241,hasMethod,hasMethod
20009,30242,hasMethod,hasMethod
20009,30243,hasMethod,hasMethod
20009,30244,hasMethod,hasMethod
20009,30245,hasMethod,hasMethod
20009,30246,hasMethod,hasMethod
20009,30247,hasMethod,hasMethod
20009,30248,hasMethod,hasMethod
20009,30249,hasMethod,hasMethod
20009,30250,hasMethod,hasMethod
20009,30251,hasMethod,hasMethod
20009,30252,hasMethod,hasMethod
20009,30253,hasMethod,hasMethod
20009,30254,hasMethod,hasMethod
20009,30255,hasMethod,hasMethod
20009,30256,hasMethod,hasMethod
20009,30257,hasMethod,hasMethod
20009,30258,hasMethod,hasMethod
20009,30259,hasMethod,hasMethod
20009,30260,hasMethod,hasMethod
20009,30261,hasMethod,hasMethod
20009,30262,hasMethod,hasMethod
20009,30263,hasMethod,hasMethod
20009,30264,hasMethod,hasMethod
20009,30265,hasMethod,hasMethod
20009,30266,hasMethod,hasMethod
20009,30267,hasMethod,hasMethod
20009,30268,hasMethod,hasMethod
20009,30269,hasMethod,hasMethod
20009,30270,hasMethod,hasMethod
20009,30271,hasMethod,hasMethod
20009,30272,hasMethod,hasMethod
20009,30273,hasMethod,hasMethod
20009,30274,hasMethod,hasMethod
20009,30275,hasMethod,hasMethod
20009,30276,hasMethod,hasMethod
20009,30277,hasMethod,hasMethod
20009,30278,hasMethod,hasMethod
20009,30279,hasMethod,hasMethod
20009,30280,hasMethod,hasMethod
20009,30281,hasMethod,hasMethod
20009,30282,hasMethod,hasMethod
20009,30283,hasMethod,hasMethod
20009,30284,hasMethod,hasMethod
20009,30285,hasMethod,hasMethod
20009,30286,hasMethod,hasMethod
20009,30287,hasMethod,hasMethod
20009,30288,hasMethod,hasMethod
20009,30289,hasMethod,hasMethod
20009,30290,hasMethod,hasMethod
20009,30291,hasMethod,hasMethod
20009,30292,hasMethod,hasMethod
20009,30293,hasMethod,hasMethod
20009,30294,hasMethod,hasMethod
20009,30295,hasMethod,hasMethod
20009,30296,hasMethod,hasMethod
20009,30297,hasMethod,hasMethod
20009,30298,hasMethod,hasMethod
20009,30299,hasMethod,hasMethod
20009,30300,hasMethod,hasMethod
20009,30301,hasMethod,hasMethod
20009,30302,hasMethod,hasMethod
20009,30303,hasMethod,hasMethod
20009,30304,hasMethod,hasMethod
20009,30305,hasMethod,hasMethod
20009,30306,hasMethod,hasMethod
20009,30307,hasMethod,hasMethod
20009,30308,hasMethod,hasMethod
20009,30309,hasMethod,hasMethod
20009,30310,hasMethod,hasMethod
20009,30311,hasMethod,hasMethod
20009,30312,hasMethod,hasMethod
20009,30313,hasMethod,hasMethod
20009,30314,hasMethod,hasMethod
20009,30315,hasMethod,hasMethod
20009,30316,hasMethod,hasMethod
20009,30317,hasMethod,hasMethod
20009,30318,hasMethod,hasMethod
20009,30319,hasMethod,hasMethod
20009,30320,hasMethod,hasMethod
20009,30321,hasMethod,hasMethod
20009,30322,hasMethod,hasMethod
20009,30323,hasMethod,hasMethod
20009,30324,hasMethod,hasMethod
20009,30325,hasMethod,hasMethod
20009,30326,hasMethod,hasMethod
20009,30327,hasMethod,hasMethod
20009,30328,hasMethod,hasMethod
20009,30329,hasMethod,hasMethod
20009,30330,hasMethod,hasMethod
20009,30331,hasMethod,hasMethod
20009,30332,hasMethod,hasMethod
20009,30333,hasMethod,hasMethod
20009,30334,hasMethod,hasMethod
20009,30335,hasMethod,hasMethod
20009,30336,hasMethod,hasMethod
20009,30337,hasMethod,hasMethod
20009,30338,hasMethod,hasMethod
20009,30339,hasMethod,hasMethod
20009,30340,hasMethod,hasMethod
20009,30341,hasMethod,hasMethod
20009,30342,hasMethod,hasMethod
20009,30343,hasMethod,hasMethod
20009,30344,hasMethod,hasMethod
20009,30345,hasMethod,hasMethod
20009,30346,hasMethod,hasMethod
20009,30347,hasMethod,hasMethod
20009,30348,hasMethod,hasMethod
20009,30349,hasMethod,hasMethod
20009,30350,hasMethod,hasMethod
20009,30351,hasMethod,hasMethod
20009,30352,hasMethod,hasMethod
20009,30353,hasMethod,hasMethod
20009,30354,hasMethod,hasMethod
20009,30355,hasMethod,hasMethod
20009,30356,hasMethod,hasMethod
20009,30357,hasMethod,hasMethod
20009,30358,hasMethod,hasMethod
20009,30359,hasMethod,hasMethod
20009,30360,hasMethod,hasMethod
20009,30361,hasMethod,hasMethod
20009,30362,hasMethod,hasMethod
20009,30363,hasMethod,hasMethod
20009,30364,hasMethod,hasMethod
20009,30365,hasMethod,hasMethod
20009,30366,hasMethod,hasMethod
20009,30367,hasMethod,hasMethod
20009,30368,hasMethod,hasMethod
20009,30369,hasMethod,hasMethod
20009,30370,hasMethod,hasMethod
20009,30371,hasMethod,hasMethod
20009,30372,hasMethod,hasMethod
20009,30373,hasMethod,hasMethod
20009,30374,hasMethod,hasMethod
20009,30375,hasMethod,hasMethod
20009,30376,hasMethod,hasMethod
20009,30377,hasMethod,hasMethod
20009,30378,hasMethod,hasMethod
20009,30379,hasMethod,hasMethod
20009,30380,hasMethod,hasMethod
20009,30381,hasMethod,hasMethod
20009,30382,hasMethod,hasMethod
20009,30383,hasMethod,hasMethod
20009,30384,hasMethod,hasMethod
20009,30385,hasMethod,hasMethod
20009,30386,hasMethod,hasMethod
20009,30387,hasMethod,hasMethod
20009,30388,hasMethod,hasMethod
20009,30389,hasMethod,hasMethod
20009,30390,hasMethod,hasMethod
20009,30391,hasMethod,hasMethod
20009,30392,hasMethod,hasMethod
20009,30393,hasMethod,hasMethod
20009,30394,hasMethod,hasMethod
20009,30395,hasMethod,hasMethod
20009,30396,hasMethod,hasMethod
20009,30397,hasMethod,hasMethod
20009,30398,hasMethod,hasMethod
20009,30399,hasMethod,hasMethod
20009,30400,hasMethod,hasMethod
20009,30401,hasMethod,hasMethod
20009,30402,hasMethod,hasMethod
20009,30403,hasMethod,hasMethod
20009,30404,hasMethod,hasMethod
20009,30405,hasMethod,hasMethod
20009,30406,hasMethod,hasMethod
20009,30407,hasMethod,hasMethod
20009,30408,hasMethod,hasMethod
20009,30409,hasMethod,hasMethod
20009,30410,hasMethod,hasMethod
20009,30411,hasMethod,hasMethod
20009,30412,hasMethod,hasMethod
20009,30413,hasMethod,hasMethod
20009,30414,hasMethod,hasMethod
20009,30415,hasMethod,hasMethod
20009,30416,hasMethod,hasMethod
20009,30417,hasMethod,hasMethod
20009,30418,hasMethod,hasMethod
20009,30419,hasMethod,hasMethod
20009,30420,hasMethod,hasMethod
20009,30421,hasMethod,hasMethod
20009,30422,hasMethod,hasMethod
20009,30423,hasMethod,hasMethod
20009,30424,hasMethod,hasMethod
20009,30425,hasMethod,hasMethod
20009,30426,hasMethod,hasMethod
20009,30427,hasMethod,hasMethod
20009,30428,hasMethod,hasMethod
20009,30429,hasMethod,hasMethod
20009,30430,hasMethod,hasMethod
20009,30431,hasMethod,hasMethod
20009,30432,hasMethod,hasMethod
20009,30433,hasMethod,hasMethod
20009,30434,hasMethod,hasMethod
20009,30435,hasMethod,hasMethod
20009,30436,hasMethod,hasMethod
20009,30437,hasMethod,hasMethod
20009,30438,hasMethod,hasMethod
20009,30439,hasMethod,hasMethod
20009,30440,hasMethod,hasMethod
20009,30441,hasMethod,hasMethod
20009,30442,hasMethod,hasMethod
20009,30443,hasMethod,hasMethod
20009,30444,hasMethod,hasMethod
20009,30445,hasMethod,hasMethod
20009,30446,hasMethod,hasMethod
20009,30447,hasMethod,hasMethod
20009,30448,hasMethod,hasMethod
20009,30449,hasMethod,hasMethod
20009,30450,hasMethod,hasMethod
20009,30451,hasMethod,hasMethod
20009,30452,hasMethod,hasMethod
20009,30453,hasMethod,hasMethod
20010,30454,hasMethod,hasMethod
20010,30455,hasMethod,hasMethod
20010,30456,hasMethod,hasMethod
20010,30457,hasMethod,hasMethod
20011,30458,hasMethod,hasMethod
20011,30459,hasMethod,hasMethod
20011,30460,hasMethod,hasMethod
20011,30461,hasMethod,hasMethod
20011,30462,hasMethod,hasMethod
20011,30463,hasMethod,hasMethod
20011,30464,hasMethod,hasMethod
20011,30465,hasMethod,hasMethod
20012,30466,hasMethod,hasMethod
20013,30467,hasMethod,hasMethod
20013,30468,hasMethod,hasMethod
20013,30469,hasMethod,hasMethod
20013,30470,hasMethod,hasMethod
20013,30471,hasMethod,hasMethod
20013,30472,hasMethod,hasMethod
20013,30473,hasMethod,hasMethod
20013,30474,hasMethod,hasMethod
20013,30475,hasMethod,hasMethod
20014,30476,hasMethod,hasMethod
20014,30477,hasMethod,hasMethod
20014,30478,hasMethod,hasMethod
20014,30479,hasMethod,hasMethod
20014,30480,hasMethod,hasMethod
20014,30481,hasMethod,hasMethod
20014,30482,hasMethod,hasMethod
20015,30483,hasMethod,hasMethod
20015,30484,hasMethod,hasMethod
20015,30485,hasMethod,hasMethod
20015,30486,hasMethod,hasMethod
20015,30487,hasMethod,hasMethod
20015,30488,hasMethod,hasMethod
20015,30489,hasMethod,hasMethod
20015,30490,hasMethod,hasMethod
20015,30491,hasMethod,hasMethod
20015,30492,hasMethod,hasMethod
20015,30493,hasMethod,hasMethod
20015,30494,hasMethod,hasMethod
20015,30495,hasMethod,hasMethod
20016,30496,hasMethod,hasMethod
20016,30497,hasMethod,hasMethod
20016,30498,hasMethod,hasMethod
20016,30499,hasMethod,hasMethod
20016,30500,hasMethod,hasMethod
20016,30501,hasMethod,hasMethod
20016,30502,hasMethod,hasMethod
20016,30503,hasMethod,hasMethod
20016,30504,hasMethod,hasMethod
20016,30505,hasMethod,hasMethod
20016,30506,hasMethod,hasMethod
20016,30507,hasMethod,hasMethod
20016,30508,hasMethod,hasMethod
20016,30509,hasMethod,hasMethod
20017,30510,hasMethod,hasMethod
20017,30511,hasMethod,hasMethod
